"YEAR","STATE.NAME","STATE.ABB","STATE.RANK","SENATE.D","SENATE.R","SENATE.I","SENATE.WOMEN","SENATE.TOTAL","HOUSE.D","HOUSE.R","HOUSE.I","HOUSE.WOMEN","HOUSE.TOTAL","TOTAL.WOMEN","TOTAL.LEGISLATURE","PERCENT.WOMEN"
2014,"Ohio","OH",26,5,3,NA,8,33,11,12,NA,23,99,31,132,23.5
2013,"Ohio","OH",26,5,3,NA,8,33,11,12,NA,23,99,31,132,23.5
2012,"Ohio","OH",29,5,3,NA,8,33,12,11,NA,23,99,31,132,23.5
2011,"Ohio","OH",28,5,3,NA,8,33,12,10,NA,22,99,30,132,22.7
2010,"Ohio","OH",32,5,2,NA,7,33,17,5,NA,22,99,29,132,22
2009,"Ohio","OH",35,5,2,NA,7,33,16,5,NA,21,99,28,132,21.2
2008,"Ohio","OH",38,5,1,NA,6,33,12,6,NA,18,99,24,132,18.2
2007,"Ohio","OH",43,4,1,NA,5,33,11,5,NA,16,99,21,132,15.9
2006,"Ohio","OH",32,3,2,NA,5,33,13,7,NA,20,99,25,132,18.9
2005,"Ohio","OH",30,3,2,NA,5,33,13,8,NA,21,99,26,132,19.7
2004,"Ohio","OH",28,3,1,NA,4,33,12,12,NA,24,99,28,132,21.2
2003,"Ohio","OH",33,2,0,NA,2,33,12,11,NA,23,99,25,132,18.9
2002,"Ohio","OH",28,3,1,NA,4,33,13,12,NA,25,99,29,132,22
2001,"Ohio","OH",28,3,1,NA,4,33,13,12,NA,25,99,29,132,22
2000,"Ohio","OH",30,3,2,NA,5,33,10,12,NA,22,99,27,132,20.5
1999,"Ohio","OH",28,3,2,NA,5,33,10,13,NA,23,99,28,132,21.2
1998,"Ohio","OH",25,3,5,NA,8,33,7,14,NA,21,99,29,132,22
1997,"Ohio","OH",25,3,5,NA,8,33,7,14,NA,21,99,29,132,22
1996,"Ohio","OH",15,3,5,NA,8,33,10,13,1,24,99,32,132,24.2
1995,"Ohio","OH",15,3,5,NA,8,33,10,13,1,24,99,32,132,24.2
1994,"Ohio","OH",18,2,5,NA,7,33,15,10,NA,25,99,32,132,24.2
1993,"Ohio","OH",22,1,4,NA,5,33,13,10,NA,23,99,28,132,21.2
1992,"Ohio","OH",29,1,3,NA,4,33,12,4,NA,16,99,20,132,15.2
1991,"Ohio","OH",29,1,3,NA,4,33,12,4,NA,16,99,20,132,15.2
1990,"Ohio","OH",35,1,2,NA,3,33,11,3,NA,14,99,17,132,12.9
1989,"Ohio","OH",35,1,2,NA,3,33,11,3,NA,14,99,17,132,12.9
1988,"Ohio","OH",34,1,1,NA,2,33,9,4,NA,13,99,15,132,11.4
1987,"Ohio","OH",34,1,1,NA,2,33,9,4,NA,13,99,15,132,11.4
1986,"Ohio","OH",38,1,1,NA,2,33,7,3,NA,10,99,12,132,9.1
1985,"Ohio","OH",38,1,1,NA,2,33,7,3,NA,10,99,12,132,9.1
1984,"Ohio","OH",37,1,0,NA,1,33,7,3,NA,10,99,11,132,8.3
1983,"Ohio","OH",36,1,0,NA,1,33,7,4,NA,11,99,12,132,9.1
1981,"Ohio","OH",37,1,0,NA,1,33,3,6,NA,9,99,10,132,7.6
1979,"Ohio","OH",33,NA,NA,NA,1,33,NA,NA,NA,8,99,9,132,6.8
1977,"Ohio","OH",31,NA,NA,NA,1,33,NA,NA,NA,7,99,8,132,6.1
1975,"Ohio","OH",26,NA,NA,NA,1,33,NA,NA,NA,7,99,8,132,6.1
2014,"Washington","WA",6,10,8,NA,18,49,21,9,NA,30,98,48,147,32.7
2013,"Washington","WA",6,10,8,NA,18,49,20,9,NA,29,98,47,147,32
2012,"Washington","WA",6,12,6,NA,18,49,19,10,NA,29,98,47,147,32
2011,"Washington","WA",5,12,6,NA,18,49,19,10,NA,29,98,47,147,32
2010,"Washington","WA",6,13,6,NA,19,49,21,8,NA,29,98,48,147,32.7
2009,"Washington","WA",6,13,6,NA,19,49,22,7,NA,29,98,48,147,32.7
2008,"Washington","WA",3,15,5,NA,20,49,23,9,NA,32,98,52,147,35.4
2007,"Washington","WA",4,15,5,NA,20,49,22,8,NA,30,98,50,147,34
2006,"Washington","WA",3,15,5,NA,20,49,19,10,NA,29,98,49,147,33.3
2005,"Washington","WA",3,15,5,NA,20,49,19,10,NA,29,98,49,147,33.3
2004,"Washington","WA",1,16,5,NA,21,49,20,11,NA,31,98,52,147,35.4
2003,"Washington","WA",1,15,6,NA,21,49,21,12,NA,33,98,54,147,36.7
2002,"Washington","WA",1,17,6,NA,23,49,21,13,NA,34,98,57,147,38.8
2001,"Washington","WA",1,17,6,NA,23,49,21,13,NA,34,98,57,147,38.8
2000,"Washington","WA",1,18,5,NA,23,49,22,15,NA,37,98,60,147,40.8
1999,"Washington","WA",1,18,5,NA,23,49,22,15,NA,37,98,60,147,40.8
1998,"Washington","WA",1,16,7,NA,23,49,20,15,NA,35,98,58,147,39.5
1997,"Washington","WA",1,16,7,NA,23,49,20,15,NA,35,98,58,147,39.5
1996,"Washington","WA",1,14,6,NA,20,49,20,18,NA,38,98,58,147,39.5
1995,"Washington","WA",1,14,6,NA,20,49,20,18,NA,38,98,58,147,39.5
1994,"Washington","WA",1,14,4,NA,18,49,28,13,NA,41,98,59,147,40.1
1993,"Washington","WA",1,14,4,NA,18,49,26,14,NA,40,98,58,147,39.5
1992,"Washington","WA",2,7,5,NA,12,49,23,13,NA,36,98,48,147,32.7
1991,"Washington","WA",5,6,5,NA,11,49,22,13,NA,35,98,46,147,31.3
1990,"Washington","WA",5,5,5,NA,10,49,22,11,NA,33,98,43,147,29.3
1989,"Washington","WA",6,5,5,NA,10,49,22,10,NA,32,98,42,147,28.6
1988,"Washington","WA",5,4,5,NA,9,49,20,8,NA,28,98,37,147,25.2
1987,"Washington","WA",4,4,4,NA,8,49,19,10,NA,29,98,37,147,25.2
1986,"Washington","WA",5,4,3,NA,7,49,16,12,NA,28,98,35,147,23.8
1985,"Washington","WA",5,4,3,NA,7,49,16,12,NA,28,98,35,147,23.8
1984,"Washington","WA",10,5,3,NA,8,49,13,7,NA,20,98,28,147,19
1983,"Washington","WA",11,5,3,NA,8,49,13,7,NA,20,98,28,147,19
1981,"Washington","WA",2,4,4,NA,8,49,17,10,NA,27,98,35,147,23.8
1979,"Washington","WA",7,NA,NA,NA,7,49,NA,NA,NA,20,98,27,147,18.4
1977,"Washington","WA",4,NA,NA,NA,7,49,NA,NA,NA,16,98,23,147,15.7
1975,"Washington","WA",10,NA,NA,NA,4,49,NA,NA,NA,14,98,18,147,12.2
2014,"Georgia","GA",28,7,1,NA,8,56,29,16,NA,45,180,53,236,22.5
2013,"Georgia","GA",28,7,1,NA,8,56,29,16,NA,45,180,53,236,22.5
2012,"Georgia","GA",27,8,1,NA,9,56,30,17,NA,47,180,56,236,23.7
2011,"Georgia","GA",26,8,1,NA,9,56,30,17,NA,47,180,56,236,23.7
2010,"Georgia","GA",38,7,1,NA,8,56,27,11,NA,38,180,46,236,19.5
2009,"Georgia","GA",38,7,1,NA,8,56,27,11,NA,38,180,46,236,19.5
2008,"Georgia","GA",31,6,2,NA,8,56,29,10,NA,39,180,47,236,19.9
2007,"Georgia","GA",31,6,2,NA,8,56,28,10,NA,38,180,46,236,19.5
2006,"Georgia","GA",33,5,2,NA,7,56,28,9,NA,37,180,44,236,18.6
2005,"Georgia","GA",33,5,2,NA,7,56,27,9,NA,36,180,43,236,18.2
2004,"Georgia","GA",25,11,2,NA,13,56,28,10,NA,38,180,51,236,21.6
2003,"Georgia","GA",26,11,2,NA,13,56,30,8,NA,38,180,51,236,21.6
2002,"Georgia","GA",30,9,1,NA,10,56,29,10,NA,39,180,49,236,20.8
2001,"Georgia","GA",31,9,1,NA,10,56,28,11,NA,39,180,49,236,20.8
2000,"Georgia","GA",31,9,1,NA,10,56,26,10,NA,36,180,46,236,19.5
1999,"Georgia","GA",32,8,1,NA,9,56,24,11,NA,35,180,44,236,18.6
1998,"Georgia","GA",37,6,1,NA,7,56,22,10,NA,32,180,39,236,16.5
1997,"Georgia","GA",36,6,1,NA,7,56,22,10,NA,32,180,39,236,16.5
1996,"Georgia","GA",32,6,2,NA,8,56,23,12,NA,35,180,43,236,18.2
1995,"Georgia","GA",32,6,2,NA,8,56,23,12,NA,35,180,43,236,18.2
1994,"Georgia","GA",33,4,2,NA,6,56,23,12,NA,35,180,41,236,17.4
1993,"Georgia","GA",32,4,2,NA,6,56,23,12,NA,35,180,41,236,17.4
1992,"Georgia","GA",34,2,1,NA,3,56,25,6,NA,31,180,34,236,14.4
1991,"Georgia","GA",34,2,1,NA,3,56,24,6,NA,30,180,33,236,14
1990,"Georgia","GA",41,1,1,NA,2,56,18,4,NA,22,180,24,236,10.2
1989,"Georgia","GA",40,1,1,NA,2,56,18,4,NA,22,180,24,236,10.2
1988,"Georgia","GA",35,1,1,NA,2,56,19,5,NA,24,180,26,236,11
